,id,,pg_category,,pg_desc,,createdat,,
(,1,",'",Include,"','",마이비,"',",20220708,),"(1,'Include','마이비',20220708)"
",(",2,",'",Include,"','",이지스엔터프라이즈,"',",20220708,),",(2,'Include','이지스엔터프라이즈',20220708)"
",(",3,",'",Include,"','",케이에스넷,"',",20220708,),",(3,'Include','케이에스넷',20220708)"
",(",4,",'",Include,"','",티머니,"',",20220708,),",(4,'Include','티머니',20220708)"
",(",5,",'",Include,"','",엘지씨엔에스,"',",20220708,),",(5,'Include','엘지씨엔에스',20220708)"
",(",6,",'",Include,"','",KG이니시스,"',",20220708,),",(6,'Include','KG이니시스',20220708)"
",(",7,",'",Include,"','",한국정보통신,"',",20220708,),",(7,'Include','한국정보통신',20220708)"
",(",8,",'",Include,"','",나이스정보통신,"',",20220708,),",(8,'Include','나이스정보통신',20220708)"
",(",9,",'",Include,"','",페이게이트,"',",20220708,),",(9,'Include','페이게이트',20220708)"
",(",10,",'",Include,"','","지마켓,G마켓","',",20220708,),",(10,'Include','지마켓,G마켓',20220708)"
",(",11,",'",Include,"','",케이지모빌리언스,"',",20220708,),",(11,'Include','케이지모빌리언스',20220708)"
",(",12,",'",Include,"','",효성에프엠에스,"',",20220708,),",(12,'Include','효성에프엠에스',20220708)"
",(",13,",'",Include,"','",씨제이올리브네트웍스,"',",20220708,),",(13,'Include','씨제이올리브네트웍스',20220708)"
",(",14,",'",Include,"','",CJ올리브네트웍스,"',",20220708,),",(14,'Include','CJ올리브네트웍스',20220708)"
",(",15,",'",Include,"','",엔에이치엔,"',",20220708,),",(15,'Include','엔에이치엔',20220708)"
",(",16,",'",Include,"','",KCP,"',",20220708,),",(16,'Include','KCP',20220708)"
",(",17,",'",Include,"','",케이씨피,"',",20220708,),",(17,'Include','케이씨피',20220708)"
",(",18,",'",Include,"','",동서아이티에스,"',",20220708,),",(18,'Include','동서아이티에스',20220708)"
",(",19,",'",Include,"','",주카카오,"',",20220708,),",(19,'Include','주카카오',20220708)"
",(",20,",'",Include,"','",브이피주,"',",20220708,),",(20,'Include','브이피주',20220708)"
",(",21,",'",Include,"','",아이에스이커머스,"',",20220708,),",(21,'Include','아이에스이커머스',20220708)"
",(",22,",'",Include,"','",세틀뱅크,"',",20220708,),",(22,'Include','세틀뱅크',20220708)"
",(",23,",'",Include,"','",부산하나로카드,"',",20220708,),",(23,'Include','부산하나로카드',20220708)"
",(",24,",'",Include,"','",페이레터,"',",20220708,),",(24,'Include','페이레터',20220708)"
",(",25,",'",Include,"','",파이서브코리아,"',",20220708,),",(25,'Include','파이서브코리아',20220708)"
",(",26,",'",Include,"','",에스엠하이플러스,"',",20220708,),",(26,'Include','에스엠하이플러스',20220708)"
",(",27,",'",Include,"','",웹케시,"',",20220708,),",(27,'Include','웹케시',20220708)"
",(",28,",'",Include,"','",더존비즈온,"',",20220708,),",(28,'Include','더존비즈온',20220708)"
",(",29,",'",Include,"','",갤럭시아머니트리,"',",20220708,),",(29,'Include','갤럭시아머니트리',20220708)"
",(",30,",'",Include,"','",티모넷,"',",20220708,),",(30,'Include','티모넷',20220708)"
",(",31,",'",Include,"','",에스케이커뮤니케이션,"',",20220708,),",(31,'Include','에스케이커뮤니케이션',20220708)"
